Designator,Mid X,Mid Y,Rotation,Layer
C1,23.40084,-18.2,180.0,top
C2,40.2,-28.2,0.0,top
C3,40.2,-25.7,0.0,top
C4,40.2,-18.2,0.0,top
C5,49.2,-26.0,90.0,top
C6,54.8,-26.0,90.0,top
C7,62.8,-27.2,180.0,top
C8,67.2,-27.2,180.0,top
D1,11.0,-20.2,0.0,top
D2,11.0,-26.2,0.0,top
D3,28.5,-19.5,180.0,top
D4,18.5,-25.7,90.0,top
D5,15.3,-25.7,90.0,top
D6,13.5,-7.0,90.0,top
D7,23.5,-7.0,90.0,top
D8,33.5,-7.0,90.0,top
J1,4.25,-23.2,270.0,top
J2,44.75,-23.2,90.0,top
J3,58.1,-23.2,90.0,top
J4,4.3,-7.0,90.0,top
J5,37.5,-7.0,90.0,top
J6,73.8,-23.2,90.0,top
Q1,28.5,-24.2,180.0,top
Q2,15.3,-20.2,0.0,top
R1,23.40084,-23.2,0.0,top
R10,23.0,-3.0,0.0,top
R11,33.0,-3.0,0.0,top
R2,23.40084,-20.7,180.0,top
R3,40.2,-23.2,0.0,top
R4,40.2,-20.7,180.0,top
R5,18.5,-20.2,90.0,top
R6,23.40084,-25.7,180.0,top
R7,23.40084,-28.2,0.0,top
R8,28.5,-28.2,0.0,top
R9,13.5,-3.0,180.0,top
U1,34.395,-23.2,180.0,top
U2,52.0,-21.3,90.0,top
U3,65.0,-21.7,180.0,top
